ctry;fh09;polity09;gini;fparl08;mena;lati;cari;east;sovi;afri;corr0509
Romania;0.02 ;0.09 ;0.32 ;0.51 ;0.00 ;0.00 ;0.00 ;0.00 ;0.01 ;0.00 ;(0.00)
Russian Federation;0.06 ;0.04 ;0.44 ;0.54 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;(0.01)
Rwanda;0.06 ;(0.03);0.47 ;0.51 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.01 ;(0.00)
Samoa;0.02 ;;;0.49 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 
San Marino;0.01 ;;;;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;
Sao Tome and Principe;0.02 ;;0.51 ;0.50 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.01 ;(0.01)
Saudi Arabia;0.07 ;(0.10);;0.46 ;0.01 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;(0.00)
Senegal;0.03 ;0.07 ;0.39 ;0.50 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.01 ;(0.00)
Serbia;0.02 ;;0.28 ;0.50 ;0.00 ;0.00 ;0.00 ;0.00 ;0.01 ;0.00 ;(0.00)
Seychelles;0.03 ;;;;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.01 ;0.00 
Sierra Leone;0.03 ;0.07 ;0.43 ;0.51 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.01 ;(0.01)
Singapore;0.05 ;(0.02);0.43 ;0.49 ;0.00 ;0.00 ;0.00 ;0.01 ;0.00 ;0.00 ;0.02 
Slovak Republic;0.01 ;0.10 ;0.26 ;0.51 ;0.00 ;0.00 ;0.00 ;0.00 ;0.01 ;0.00 ;0.00 
Slovenia;0.01 ;0.10 ;0.31 ;0.52 ;0.00 ;0.00 ;0.00 ;0.00 ;0.01 ;0.00 ;0.01 
Solomon Islands;0.04 ;0.08 ;;0.48 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;(0.00)
Somalia;0.07 ;0.00 ;;0.51 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.01 ;(0.02)
South Africa;0.02 ;0.09 ;0.58 ;0.50 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.01 ;0.00 
Spain;0.01 ;0.10 ;0.35 ;0.51 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.01 
Sri Lanka;0.04 ;0.06 ;0.41 ;0.49 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;(0.00)
St. Kitts and Nevis;0.01 ;;;;0.00 ;0.00 ;0.01 ;0.00 ;0.00 ;0.00 ;0.01 
St. Lucia;0.01 ;;;0.51 ;0.00 ;0.00 ;0.01 ;0.00 ;0.00 ;0.00 ;0.01 
St. Vincent and the Grenadines;0.02 ;;;0.51 ;0.00 ;0.00 ;0.01 ;0.00 ;0.00 ;0.00 ;0.01 
Sudan;0.07 ;(0.04);;0.50 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.01 ;(0.01)
Suriname;0.02 ;;0.53 ;0.50 ;0.00 ;0.00 ;0.01 ;0.00 ;0.00 ;0.00 ;(0.00)
Swaziland;0.06 ;(0.09);0.51 ;0.52 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.01 ;(0.00)
Sweden;0.01 ;0.10 ;0.25 ;0.50 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.02 
Switzerland;0.01 ;0.10 ;0.34 ;0.51 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.02 
Syrian Arab Republic;0.07 ;(0.07);;0.49 ;0.01 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;(0.01)
Tajikistan;0.06 ;(0.03);0.34 ;0.50 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;(0.01)
Tanzania;0.04 ;(0.01);0.35 ;0.51 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.01 ;(0.00)
Thailand;0.05 ;0.04 ;0.43 ;0.50 ;0.00 ;0.00 ;0.00 ;0.01 ;0.00 ;0.00 ;(0.00)
Timor-Leste;;0.07 ;0.32 ;0.49 ;0.00 ;0.00 ;0.00 ;0.01 ;0.00 ;0.00 ;(0.01)
Togo;0.05 ;(0.04);0.34 ;0.51 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.01 ;(0.01)
Tonga;0.04 ;;;0.49 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;(0.01)
Trinidad and Tobago;0.02 ;0.10 ;0.40 ;0.51 ;0.00 ;0.00 ;0.01 ;0.00 ;0.00 ;0.00 ;(0.00)
Tunisia;0.06 ;(0.04);0.41 ;0.50 ;0.01 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 
Turkey;0.03 ;0.07 ;0.41 ;0.49 ;0.01 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 
Turkmenistan;0.07 ;(0.09);0.41 ;0.51 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;(0.01)
Turks and Caicos Islands;;;;;0.00 ;0.00 ;0.01 ;0.00 ;0.00 ;0.00 ;
Tuvalu;0.01 ;;;;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;(0.00)
Uganda;0.05 ;(0.01);0.43 ;0.50 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.01 ;(0.01)
Ukraine;0.03 ;0.07 ;0.28 ;0.54 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;(0.01)
United Arab Emirates;0.06 ;(0.08);;0.35 ;0.01 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.01 
United Kingdom;0.01 ;0.10 ;0.36 ;0.51 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.02 
United States;0.01 ;0.10 ;0.41 ;0.51 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.01 
